index	hash	title	smName	artist	version	levels	displayBpm	abcSort	dAudioUrl	useSsc	missingDifficulties	isLineout
0	QPd01OQqbOIiDoO1dbdo1IIbb60bqPdl	愛言葉	Ai kotoba	DECO*27	15	3,5,7,11,,5,8,11,	137	あ	nl33phr44a7t4is/Ai%20kotoba.mp3				
1	OboID1PloIIoOOObQdQOP110I61Ddl9I	蒼い衝動 ～for EXTREME～	BLUE IMPULSE ~for EXTREME~	NAOKI feat.YUKI	7	2,4,6,9,,4,6,11,	145	あ	ix5era6s964c4yh/BLUE%20IMPULSE%20~for%20EXTREME~.mp3				
2	6d10P0Pd1PiD1l6DPQdoPD1Q8DP0QlqQ	蒼が消えるとき	Ao ga kieru toki	movies (moimoi×Xceon×Dai.)	17	3,6,9,12,,6,9,12,	162	あ	1ia6f1jokd1jwr9/Ao%20ga%20kieru%20toki.mp3				
3	918oPDQDoPlD1OlqlqQI08I6dD9iqoil	朝色の紙飛行機	Asa-iro no kami hikouki	かめりあ	14	2,5,9,13,,5,10,13,	132	あ	ishoz57isrczeew/Asa-iro%20no%20kami%20hikouki.mp3				
4	16bl8D8lOddP9Obq0OIlOI6q8Pi1l9O0	天ノ弱	Ama no jyaku	164	15	3,6,10,13,,7,10,13,	200	あ	zi6hu0wwkhki26a/Ama%20no%20jyaku.mp3				
5	06O0ObdQobq86lPDo6P18dQ1QPdilIQO	妖隠し -あやかしかくし-	Ayakashi kakushi	DJ TOTTO feat.3L	14	4,7,11,14,,7,12,15,	85	あ	i5p8op7lmg6njs8/Ayakashi%20kakushi.mp3				
6	D6IIDqlO8idioiPo8l61Ob11D6Di0DiQ	アリスサイド・キャスリング	Alice side castling	メリー・バッド・メルヘン	17	2,5,8,10,,5,8,10,	115	あ	nmnl3y0kfgag0j1/Alice%20side%20castling.mp3				
7	d0DDd1dP6llPbioqPdiQ0IDd918bDqI8	ありふれたせかいせいふく	Arifureta sekai seifuku	ピノキオピー	15	3,7,10,14,,7,10,14,	150	あ	n6jf3pzxvkrwzw0/Arifureta%20sekai%20seifuku.mp3				
8	8bQQ0lP96186D8Ibo8IoOd6o16qioiIo	アルストロメリア (walk with you remix)	Alstroemeria (walk with you remix)	TAG	12	3,6,8,11,13,6,8,12,13	148	あ	ympusyij8jjodvt/Alstroemeria%20%28walk%20with%20you%20remix%29.mp3				
9	1d9lDIl6iiiD0D0d8qd6dlDlq6P8o0QI	阿波おどり -Awaodori- やっぱり踊りはやめられない	Awa odori -Awaodori- yappari odori wa yame rarenai	U1 ミライダガッキ連と矢印連	14	5,9,12,14,,9,13,15,	120-260	あ	5pl02imoif9bg9d/Awa%20odori%20-Awaodori-%20yappari%20odori%20wa%20yame%20rarenai.mp3				
